Date,Description,Amount,Transaction Type,Category
2025-08-29,Udemy Python Programming Course,19.46,expense,Education
2025-08-29,Coursera Data Science Certification,45.54,expense,Education
2025-08-30,City Water & Sewerage Bill,54.01,expense,Bills
2025-08-31,Dominos Pizza delivery,17.55,expense,Food
2025-09-01,Local Charity Donation,82.87,expense,Others
2025-09-02,Post Office Mail Shipping,7.06,expense,Others
2025-09-02,Post Office Mail Shipping,10.88,expense,Others
2025-09-04,Local Charity Donation,93.09,expense,Others
2025-09-04,City Water & Sewerage Bill,34.59,expense,Bills
2025-09-05,Shell Gasoline Fill-up,45.34,expense,Travel
2025-09-06,Delta Airlines Ticket flight,236.52,expense,Travel
2025-09-07,General Hospital Doctor Consultation,171.35,expense,Medical
2025-09-08,Duolingo Language App Premium,9.69,expense,Education
2025-09-09,Bowlero Bowling Center Lanes,34.39,expense,Entertainment
2025-09-10,Freelance Software Project Invoice,699.83,income,Freelance
2025-09-11,Starbucks Coffee Shop,14.77,expense,Food
2025-09-12,Local Charity Donation,61.24,expense,Others
2025-09-13,Disneyland Theme Park Ticket,129.15,expense,Entertainment
2025-09-14,Walmart Grocery Store,101.56,expense,Food
2025-09-16,Netflix Streaming Subscription,22.77,expense,Bills
2025-09-18,Xbox Live Game Store Purchase,52.42,expense,Entertainment
2025-09-19,Corporate Monthly Salary Paycheck,2911.7,income,Salary
2025-09-20,General Hospital Doctor Consultation,171.13,expense,Medical
2025-09-21,Coursera Data Science Certification,46.07,expense,Education
2025-09-22,Bowlero Bowling Center Lanes,22.34,expense,Entertainment
2025-09-24,Starbucks Coffee Shop,13.84,expense,Food
2025-09-25,Shell Gasoline Fill-up,37.03,expense,Travel
2025-09-27,Nike Sneakers Purchase,139.12,expense,Shopping
2025-09-28,Dental Care Clinic Orthodontics,136.42,expense,Medical
2025-09-29,Comcast Xfinity Internet Bill,97.62,expense,Bills
2025-09-30,Blue Shield Health Insurance Co-pay,41.53,expense,Medical
2025-10-01,UberEats Restaurant Delivery,53.81,expense,Food
2025-10-03,Duolingo Language App Premium,11.4,expense,Education
2025-10-05,College Bookstore Textbooks,231.78,expense,Education
2025-10-05,Dominos Pizza delivery,31.24,expense,Food
2025-10-06,Target Retail Store,23.34,expense,Shopping
2025-10-07,Nike Sneakers Purchase,101.2,expense,Shopping
2025-10-08,H&M Summer Collection Apparels,21.22,expense,Shopping
2025-10-08,College Bookstore Textbooks,216.73,expense,Education
2025-10-09,Walmart Grocery Store,106.85,expense,Food
2025-10-10,State DMV Vehicle Registration,92.69,expense,Others
2025-10-10,Investment Dividend Payment Deposit,156.17,income,Dividend
2025-10-11,Zara Clothing Apparel,38.42,expense,Shopping
2025-10-13,Walgreens Drugstore medicine,63.51,expense,Medical
2025-10-15,State DMV Vehicle Registration,72.3,expense,Others
2025-10-16,Freelance Software Project Invoice,1161.49,income,Freelance
2025-10-17,Best Buy Electronics Store,205.13,expense,Shopping
2025-10-19,CVS Pharmacy prescription,39.7,expense,Medical
2025-10-19,Walmart Grocery Store,41.28,expense,Food
2025-10-20,Metropolitan Power Grid Electric Bill,130.18,expense,Bills
2025-10-20,City Water & Sewerage Bill,35.39,expense,Bills
2025-10-22,Udemy Python Programming Course,17.04,expense,Education
2025-10-23,Blue Shield Health Insurance Co-pay,41.3,expense,Medical
2025-10-25,Delta Airlines Ticket flight,331.17,expense,Travel
2025-10-27,Amtrak Train Transit,41.67,expense,Travel
2025-10-29,Hilton Hotels Reservation,202.97,expense,Travel
2025-10-29,Dominos Pizza delivery,33.33,expense,Food
2025-10-31,Local Charity Donation,30.67,expense,Others
2025-10-31,Target Retail Store,98.88,expense,Shopping
2025-11-01,Spotify Music Premium,13.2,expense,Bills
2025-11-03,Investment Dividend Payment Deposit,58.14,income,Dividend
2025-11-04,City Water & Sewerage Bill,67.99,expense,Bills
2025-11-05,City Water & Sewerage Bill,57.72,expense,Bills
2025-11-05,Shell Gasoline Fill-up,39.8,expense,Travel
2025-11-06,General Hospital Doctor Consultation,116.69,expense,Medical
2025-11-06,Hilton Hotels Reservation,224.78,expense,Travel
2025-11-07,Xbox Live Game Store Purchase,18.46,expense,Entertainment
2025-11-08,Delta Airlines Ticket flight,339.1,expense,Travel
2025-11-09,Delta Airlines Ticket flight,193.86,expense,Travel
2025-11-11,Subway Sandwiches Store,15.56,expense,Food
2025-11-12,Shell Gasoline Fill-up,52.75,expense,Travel
2025-11-13,Corporate Monthly Salary Paycheck,4364.98,income,Salary
2025-11-15,State DMV Vehicle Registration,111.92,expense,Others
2025-11-17,Xbox Live Game Store Purchase,40.74,expense,Entertainment
2025-11-18,Best Buy Electronics Store,376.62,expense,Shopping
2025-11-19,Target Retail Store,35.89,expense,Shopping
2025-11-20,Shell Gasoline Fill-up,30.2,expense,Travel
2025-11-21,Comcast Xfinity Internet Bill,75.11,expense,Bills
2025-11-23,AMC Movie Theatre Tickets,23.74,expense,Entertainment
2025-11-23,General Hospital Doctor Consultation,174.05,expense,Medical
2025-11-24,CVS Pharmacy prescription,30.0,expense,Medical
2025-11-25,Local Charity Donation,62.08,expense,Others
2025-11-26,Hilton Hotels Reservation,185.13,expense,Travel
2025-11-28,Subway Sandwiches Store,14.69,expense,Food
2025-11-29,General Hospital Doctor Consultation,174.22,expense,Medical
2025-11-30,College Bookstore Textbooks,218.85,expense,Education
2025-12-01,Starbucks Coffee Shop,6.97,expense,Food
2025-12-03,Amazon Online Shopping,186.02,expense,Shopping
2025-12-04,Metropolitan Power Grid Electric Bill,96.15,expense,Bills
2025-12-05,Disneyland Theme Park Ticket,200.73,expense,Entertainment
2025-12-06,Dominos Pizza delivery,35.0,expense,Food
2025-12-07,Dominos Pizza delivery,31.99,expense,Food
2025-12-08,Verizon Monthly Wireless Bill,91.66,expense,Bills
2025-12-09,Hilton Hotels Reservation,318.79,expense,Travel
2025-12-10,Rent Payment Apartment,1200.0,expense,Bills
2025-12-11,Walgreens Drugstore medicine,46.78,expense,Medical
2025-12-12,Dental Care Clinic Orthodontics,266.38,expense,Medical
2025-12-13,Xbox Live Game Store Purchase,32.98,expense,Entertainment
2025-12-14,Local Charity Donation,23.13,expense,Others
2025-12-14,Walgreens Drugstore medicine,32.99,expense,Medical
2025-12-15,Rent Payment Apartment,1200.0,expense,Bills
2025-12-16,Shell Gasoline Fill-up,39.31,expense,Travel
2025-12-18,Metropolitan Power Grid Electric Bill,93.11,expense,Bills
2025-12-20,Coursera Data Science Certification,45.35,expense,Education
2025-12-21,Walgreens Drugstore medicine,43.74,expense,Medical
2025-12-21,Nike Sneakers Purchase,81.53,expense,Shopping
2025-12-22,Dental Care Clinic Orthodontics,161.96,expense,Medical
2025-12-22,Walgreens Drugstore medicine,15.23,expense,Medical
2025-12-24,Delta Airlines Ticket flight,182.7,expense,Travel
2025-12-25,Dental Care Clinic Orthodontics,193.4,expense,Medical
2025-12-25,Bowlero Bowling Center Lanes,38.14,expense,Entertainment
2025-12-25,Delta Airlines Ticket flight,157.03,expense,Travel
2025-12-27,Metropolitan Power Grid Electric Bill,145.33,expense,Bills
2025-12-27,Whole Foods Grocery Delivery,114.08,expense,Food
2025-12-27,Amazon Online Shopping,196.1,expense,Shopping
2025-12-28,AMC Movie Theatre Tickets,34.37,expense,Entertainment
2025-12-29,AMC Movie Theatre Tickets,36.96,expense,Entertainment
2025-12-31,Duolingo Language App Premium,11.04,expense,Education
2026-01-01,State DMV Vehicle Registration,84.02,expense,Others
2026-01-02,Dominos Pizza delivery,40.2,expense,Food
2026-01-03,McDonald's Fast Food,14.07,expense,Food
2026-01-04,Corporate Monthly Salary Paycheck,2594.31,income,Salary
2026-01-06,Starbucks Coffee Shop,8.08,expense,Food
2026-01-07,Netflix Streaming Subscription,18.19,expense,Bills
2026-01-08,Spotify Music Premium,14.04,expense,Bills
2026-01-09,Netflix Streaming Subscription,21.13,expense,Bills
2026-01-10,Investment Dividend Payment Deposit,230.52,income,Dividend
2026-01-10,Hilton Hotels Reservation,242.24,expense,Travel
2026-01-11,Uber Ride Share,35.21,expense,Travel
2026-01-12,Comcast Xfinity Internet Bill,106.84,expense,Bills
2026-01-13,Hilton Hotels Reservation,392.86,expense,Travel
2026-01-15,Whole Foods Grocery Delivery,44.13,expense,Food
2026-01-15,Comcast Xfinity Internet Bill,76.48,expense,Bills
2026-01-15,Spotify Music Premium,12.63,expense,Bills
2026-01-16,Spotify Music Premium,12.88,expense,Bills
2026-01-17,Post Office Mail Shipping,12.35,expense,Others
2026-01-18,CVS Pharmacy prescription,38.8,expense,Medical
2026-01-18,Bowlero Bowling Center Lanes,31.94,expense,Entertainment
2026-01-19,Duolingo Language App Premium,12.29,expense,Education
2026-01-19,Metropolitan Power Grid Electric Bill,151.26,expense,Bills
2026-01-20,Blue Shield Health Insurance Co-pay,48.03,expense,Medical
2026-01-21,Spotify Music Premium,11.95,expense,Bills
2026-01-22,Shell Gasoline Fill-up,29.67,expense,Travel
2026-01-22,Dental Care Clinic Orthodontics,147.32,expense,Medical
2026-01-23,Starbucks Coffee Shop,11.33,expense,Food
2026-01-24,McDonald's Fast Food,15.18,expense,Food
2026-01-25,McDonald's Fast Food,23.47,expense,Food
2026-01-25,Hilton Hotels Reservation,397.67,expense,Travel
2026-01-26,Duolingo Language App Premium,7.98,expense,Education
2026-01-26,City Water & Sewerage Bill,66.1,expense,Bills
2026-01-27,Bowlero Bowling Center Lanes,25.63,expense,Entertainment
2026-01-28,Metropolitan Power Grid Electric Bill,109.09,expense,Bills
2026-01-28,Xbox Live Game Store Purchase,48.57,expense,Entertainment
2026-01-29,General Hospital Doctor Consultation,106.51,expense,Medical
2026-01-30,Dental Care Clinic Orthodontics,151.49,expense,Medical
2026-01-31,Disneyland Theme Park Ticket,141.62,expense,Entertainment
2026-02-01,Rent Payment Apartment,1200.0,expense,Bills
2026-02-02,Starbucks Coffee Shop,6.72,expense,Food
2026-02-04,Uber Ride Share,16.98,expense,Travel
2026-02-04,CVS Pharmacy prescription,31.93,expense,Medical
2026-02-05,State DMV Vehicle Registration,66.22,expense,Others
2026-02-06,Comcast Xfinity Internet Bill,77.41,expense,Bills
2026-02-07,Zara Clothing Apparel,65.78,expense,Shopping
2026-02-09,Investment Dividend Payment Deposit,74.42,income,Dividend
2026-02-10,Coursera Data Science Certification,42.2,expense,Education
2026-02-11,Shell Gasoline Fill-up,37.54,expense,Travel
2026-02-12,General Hospital Doctor Consultation,160.39,expense,Medical
2026-02-13,Chevron Gas Station,51.45,expense,Travel
2026-02-15,AMC Movie Theatre Tickets,24.94,expense,Entertainment
2026-02-15,Chevron Gas Station,49.38,expense,Travel
2026-02-16,UberEats Restaurant Delivery,64.19,expense,Food
2026-02-17,Corporate Monthly Salary Paycheck,3551.54,income,Salary
2026-02-17,Dental Care Clinic Orthodontics,97.91,expense,Medical
2026-02-18,Best Buy Electronics Store,384.44,expense,Shopping
2026-02-19,H&M Summer Collection Apparels,50.46,expense,Shopping
2026-02-19,Verizon Monthly Wireless Bill,63.32,expense,Bills
2026-02-20,Walgreens Drugstore medicine,34.84,expense,Medical
2026-02-22,Dominos Pizza delivery,41.36,expense,Food
2026-02-23,State DMV Vehicle Registration,107.21,expense,Others
2026-02-23,Target Retail Store,44.21,expense,Shopping
2026-02-25,Dominos Pizza delivery,44.88,expense,Food
2026-02-25,Ticketmaster Concert Live Music,160.42,expense,Entertainment
2026-02-26,CVS Pharmacy prescription,31.96,expense,Medical
2026-02-26,Netflix Streaming Subscription,22.39,expense,Bills
2026-02-26,Zara Clothing Apparel,58.34,expense,Shopping
2026-02-28,CVS Pharmacy prescription,27.6,expense,Medical
2026-03-01,Best Buy Electronics Store,239.3,expense,Shopping
2026-03-02,Verizon Monthly Wireless Bill,97.1,expense,Bills
2026-03-03,Uber Ride Share,13.04,expense,Travel
2026-03-05,Duolingo Language App Premium,9.52,expense,Education
2026-03-06,Dental Care Clinic Orthodontics,196.33,expense,Medical
2026-03-07,Duolingo Language App Premium,12.36,expense,Education
2026-03-09,Netflix Streaming Subscription,11.76,expense,Bills
2026-03-10,Comcast Xfinity Internet Bill,86.72,expense,Bills
2026-03-10,Walmart Grocery Store,108.3,expense,Food
2026-03-11,Chevron Gas Station,32.65,expense,Travel
2026-03-13,Shell Gasoline Fill-up,49.07,expense,Travel
2026-03-15,General Hospital Doctor Consultation,185.33,expense,Medical
2026-03-16,Best Buy Electronics Store,142.05,expense,Shopping
2026-03-18,Xbox Live Game Store Purchase,27.19,expense,Entertainment
2026-03-19,Freelance Software Project Invoice,454.55,income,Freelance
2026-03-20,Target Retail Store,43.82,expense,Shopping
2026-03-21,AMC Movie Theatre Tickets,27.99,expense,Entertainment
2026-03-23,Walmart Grocery Store,78.08,expense,Food
2026-03-24,McDonald's Fast Food,14.98,expense,Food
2026-03-25,Disneyland Theme Park Ticket,198.88,expense,Entertainment
2026-03-26,Freelance Software Project Invoice,622.54,income,Freelance
2026-03-28,Ticketmaster Concert Live Music,98.67,expense,Entertainment
2026-03-29,Starbucks Coffee Shop,10.63,expense,Food
2026-03-30,Amtrak Train Transit,81.27,expense,Travel
2026-04-01,College Bookstore Textbooks,167.92,expense,Education
2026-04-02,Ticketmaster Concert Live Music,174.14,expense,Entertainment
2026-04-03,Verizon Monthly Wireless Bill,84.86,expense,Bills
2026-04-05,Dental Care Clinic Orthodontics,179.1,expense,Medical
2026-04-05,Starbucks Coffee Shop,5.49,expense,Food
